Código,Nome,Enderezo,Concello,Provincia,Cód. postal,Teléfono,Tipo de centro,COORDENADA_X,COORDENADA_Y,TITULARIDADE,ENSINO_CONCERTADO,DEPENDENTE
32013557,CPR Plurilingüe María Inmaculada,Avenida de Portugal 59,Verín,Ourense,32600,988410756,CPR,41.935523986816406,-7.438126564025879,Privada,Si,Non
32013582,IES García-Barbón,Rúa Antonio Fernández Pérez s/n,Verín,Ourense,32600,988685085,IES,41.93323516845703,-7.441528797149658,Pública,Non,Si
32013612,IES Xesús Taboada Chivite,Avenida de Portugal 116,Verín,Ourense,32600,988685070,IES,41.93347930908203,-7.439377784729004,Pública,Non,Si
32013661,CEIP Bibei,Rúa Nicolas Tenorio 39,Viana do Bolo,Ourense,32550,988340023,CEIP,42.177818298339844,-7.111534118652344,Pública,Non,Si
32013958,CEIP Xosé Manuel Folla Respino,Rúa Valdegodos s/n,Vilamartín de Valdeorras,Ourense,32340,988300090,CEIP,42.410865783691406,-7.050529956817627,Pública,Non,Si
32014151,CEIP Plurilingüe de Vilar de Barrio,Vilar de barrio (San PedrO Fiz),Vilar de Barrio,Ourense,32702,988449043,CEIP,42.1607780456543,-7.608230590820313,Pública,Non,Si
32014331,ESMU Municipal de Barbadás,Rúa da Presa s/n,Barbadás,Ourense,32002,988246620,ESMU,42.3177375793457,-7.884168148040772,Pública,Non,Non
32014501,CEIP Plurilingüe Rodolfo Núñez Rodríguez,Rúa O Toural s/n,Vilardevós,Ourense,32616,988788530,CEIP,41.909332275390625,-7.311260223388672,Pública,Non,Si
32014801,IES Cidade de Antioquía,Avenida de Ourense 186,Xinzo de Limia,Ourense,32630,988788534,IES,42.076725006103516,-7.733602523803711,Pública,Non,Si
32014902,CEIP Santa María A Real,Entrimo (Santa María A Real),Entrimo,Ourense,32860,988434605,CEIP,41.933902740478516,-8.120864868164062,Pública,Non,Si
32015025,CEIP de Casaio,"Rúa Devesa, s/n (Casaio)",Carballeda de Valdeorras,Ourense,32337,988324686,CEIP,42.34173583984375,-6.803894996643066,Pública,Non,Si
32015037,IES Manuel Chamoso Lamas,Ant.Estrada Pontevedra - Mesego,O Carballiño,Ourense,32516,988788380,IES,42.420989990234375,-8.09221363067627,Pública,Non,Si
32015050,CIFP A Farixa,"Rúa Finca Farixa, s/n (Mariñamansa)",Ourense,Ourense,32005,988783012,CIFP,42.32328796386719,-7.868313789367676,Pública,Non,Si
