Código,Nome,Enderezo,Concello,Provincia,Cód. postal,Teléfono,Tipo de centro,COORDENADA_X,COORDENADA_Y,TITULARIDADE,ENSINO_CONCERTADO,DEPENDENTE
15013230,CEIP As Forcadas,Rúa As Forcadas s/n,Ponteceso,A Coruña,15114,881880930,CEIP,43.26827621459961,-8.955246925354004,Pública,Non,Si
15013254,CFEA de Sergude,Lugar de Quián,Boqueixón,A Coruña,15881,881867325,CFEA,42.822547912597656,-8.460624694824219,Pública,Non,Non
15013291,CEIP Eduardo Pondal,Rúa A TRABE,Ponteceso,A Coruña,15110,881880934,CEIP,43.2402458190918,-8.893362998962402,Pública,Non,Si
15013412,CEIP de Ombre,Ombre (Santa María),Pontedeume,A Coruña,15608,981430608,CEIP,43.40978240966797,-8.141921043395996,Pública,Non,Si
15013461,CPR Plurilingüe San José,Avenida da Coruña 25,Pontedeume,A Coruña,15601,981430056,CPR,43.404136657714844,-8.16557788848877,Privada,Si,Non
15013497,CPR Luís Vives,Avenida Ricardo Sanchez 51,Pontedeume,A Coruña,15600,981430719,CPR,43.40458679199219,-8.16309928894043,Privada,Si,Non
15013503,CEIP Couceiro Freijomil,Avenida do Peirao s/n,Pontedeume,A Coruña,15600,881930480,CEIP,43.408592224121094,-8.173554420471191,Pública,Non,Si
15013591,CEIP Plurilingüe Santa María,Praza de América s/n,As Pontes de García Rodríguez,A Coruña,15320,881930071,CEIP,43.4492073059082,-7.853054523468018,Pública,Non,Si
15013643,CEIP Plurilingüe A Magdalena,"Rúa Monte Caxado, s/n (Campeiras)",As Pontes de García Rodríguez,A Coruña,15320,881930036,CEIP,43.456451416015625,-7.852853775024414,Pública,Non,Si
15013761,CEIP Plurilingüe de Campanario,Rúa Campanario 13,Porto do Son,A Coruña,15979,881866297,CEIP,42.69852828979492,-9.016090393066406,Pública,Non,Si
15013783,EEI de Caamaño,Rúa da Cruz,Porto do Son,A Coruña,15996,603470924,EEI,42.6546516418457,-9.029098510742188,Pública,Non,Si
15013898,CEIP de Seráns,Lugar Seráns s/n,Porto do Son,A Coruña,15994,638036095,CEIP,42.60791778564453,-9.050117492675781,Pública,Non,Si
15013928,CEIP Plurilingüe de Sobrado-Nebra,Nebra (Santa María),Porto do Son,A Coruña,15978,881866305,CEIP,42.72737503051758,-8.967113494873047,Pública,Non,Si
15013977,CEIP Santa Irene,"Rúa Campo Santa Irene, s/n (Porto do Son)",Porto do Son,A Coruña,15970,881866854,CEIP,42.722328186035156,-9.006911277770996,Pública,Non,Si
15013989,EEI de Queiruga,Queiruga (Santo Estevo),Porto do Son,A Coruña,15998,981768238,EEI,42.675880432128906,-9.025371551513672,Pública,Non,Si
15014180,CEIP Alfonso D. Rodríguez Castelao,Rúa Rosalia Castro 12,Rianxo,A Coruña,15920,881866861,CEIP,42.652732849121094,-8.81698226928711,Pública,Non,Si
